"","x"
"1",3
"2",0.778789137663375
"3",0.545173807796394
"4",0.0779431480624319
"5",0.545173807796394
"6",0.311558477929413
"7",0.0779431480624319
"8",1.02727989731899
"9",1.61008911405061
"10",0.965729227226418
"11",0
"12",0
"13",0
"14",0
"15",0.467507151049251
"16",0.031895353087715
"17",0.543294327854501
"18",1.56431577662796
"19",1.95897902602905
"20",0.880018235269707
"21",0.624721412732453
"22",0.346158997882782
"23",0
"24",0.0924203225965937
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0.341200012100765
"33",0.133422566702203
"34",0.0383343433541667
"35",0.524523931491473
"36",0.871907687927838
"37",1.15992306874832
"38",1.00135601223396
"39",0.94874018969041
"40",0
"41",0.0851274607716455
"42",0.203167349043706
"43",0.220670320111956
"44",0.219558300450438
"45",0.226058300324511
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.455492285629135
"54",0
"55",0
"56",0.0596566817473595
"57",0
"58",0.422679892805229
"59",1.49264734673089
"60",1.45939755916998
"61",1.56122622723271
"62",0.717544121653361
"63",0.134390168909786
"64",0.0505466754312781
"65",0
"66",0.0745218007932081
"67",0.205781693941788
"68",0.214170320237883
"69",0.482558295355235
"70",0.219558300450438
"71",0.0978083028091491
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0.157289704658832
"78",0.0226667288390725
"79",0
"80",0
"81",0
"82",0.774979360634832
"83",1.71406083009296
"84",2.89166211819216
"85",1.43732499796211
"86",0.704475392951556
"87",0.111364403790893
"88",0
"89",0
"90",0
"91",0
"92",0.0766176243546653
"93",0.0615217387185691
"94",0.220670320111956
"95",0.3478082979658
"96",0.354308297839873
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0.278600210492163
"104",0
"105",0
"106",0.132457394585373
"107",0
"108",0.334739477138395
"109",1.20443723549788
"110",2.17078016103148
"111",1.32990046977641
"112",0.136967113920285
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0.247022143913958
"119",0.22232474908912
"120",0.435576231161392
"121",0.58487839565854
"122",0.1592072258468
"123",0.604308292996523
"124",0.407623976759506
"125",0.226058300324511
"126",0
"127",0
"128",0
"129",0
"130",1.08129050260362
"131",0.219007981266754
"132",0.166725090424921
"133",0.739363253493936
"134",0.376116781212662
"135",0.712521712771747
"136",0.560972726811103
"137",0.541883982896358
"138",0.75313551063892
"139",0.551257121099651
"140",0.161932342696764
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0.798937961790891
"147",0.137934235928043
"148",0.638469505428589
"149",0.792989288414193
"150",1.75016047497711
"151",1.37077907026484
"152",1.86864692872382
"153",0.804915487441448
"154",0.702191126983428
"155",0.792373969305591
"156",1.13454556821709
"157",0.269560724843544
"158",0.0978019968165115
"159",0
"160",0
"161",0
"162",0.822789736771414
"163",0.938860609629662
"164",1.07984016608919
"165",1.57527841551066
"166",2.29909615885327
"167",1.46468298272447
"168",0.872231055965012
"169",0.59961157515485
"170",1.10339175758835
"171",0.599543739305811
"172",1.44198605476181
"173",0.207482420725846
"174",0.263719567744385
"175",0
"176",0
"177",0.140701627975396
"178",1.18393032415367
"179",0
"180",0.2554754388877
"181",0.789944047112795
"182",0.619614038762053
"183",1.70343567050891
"184",1.53839396294807
"185",0.822501448703519
"186",0.703113467886304
"187",0.982558285668536
"188",0.90431071254628
"189",0.44336857548064
"190",0
"191",0
"192",0
"193",0
"194",0
"195",1.1401813816258
"196",1.14018822639936
"197",1.27538540692304
"198",3.18095047231426
"199",3.25498743501971
"200",2.80325392673657
"201",1.06033116101749
"202",1.13825748149662
"203",0.667949255772677
"204",1.13408428092259
"205",0.953688886868976
"206",1.13550580879934
"207",0.411708512080694
"208",0.351091574465234
"209",0
"210",0.680518050531482
"211",0.721547200322174
"212",0.16487019910806
"213",0
"214",0
"215",0.155267378622634
"216",0.448973206898661
"217",0.544706919731007
"218",0.515889667321952
"219",1.34372011454668
"220",0.383526929752995
"221",0.960740104575589
"222",0.769358731636346
"223",0.529675076398067
"224",0.241840944531496
"225",0
"226",0.0894374647980047
"227",0
"228",0
"229",0.635604511784624
"230",1.3980217069334
"231",1.97736338124724
"232",4.31449070047329
"233",2.73164847194549
"234",1.53681175208689
"235",0.378432272705259
"236",0.618971451432788
"237",0.171213037905103
"238",0.745806615655623
"239",0.458723401564327
"240",0.43003674009632
"241",0.0764180096913797
"242",0.0139382893298939
"243",0.275110183301326
"244",0.434554649098974
"245",0.16487019910806
"246",0
"247",0
"248",0
"249",0.154893802312752
"250",0.467935717819342
"251",0.509932293405485
"252",0.512401370108072
"253",0
"254",0.388813347550424
"255",0.581972559549859
"256",0.338744089862198
"257",0.0716050254420068
"258",0.115570605069926
"259",0.37404053650911
"260",0.0649397621258492
"261",0.226058300324511
"262",0
"263",0.56837373197873
"264",0.455945852789028
"265",0
"266",1.6597619696763
"267",2.32920087041761
"268",2.60200977123662
"269",0.684882315513874
"270",0.452406237620602
"271",0.296423665165497
"272",0.714017698426477
"273",0
"274",0.102038786208111
"275",0.257796277277068
"276",0.0592957280490377
"277",0.214963242949729
"278",0
"279",0
"280",0.0511823936795899
"281",0.262666055454722
"282",0.473183336862532
"283",0.0603043702509662
"284",0
"285",0
"286",0.0839940586219816
"287",0.398597651384592
"288",0.674259607769769
"289",0.865562150862366
"290",0.409388014212914
"291",0.0839079915734988
"292",0.339903577285903
"293",0.468762608059753
"294",0.46836995145851
"295",0.0464030045466298
"296",0.148861496848028
"297",0.195855835925131
"298",0.680731280879196
"299",0.149240048881432
"300",0.0864197095656933
"301",0
"302",0.557829074195948
"303",0.75920967688398
"304",0.357439596472969
"305",0.57737940097299
"306",0.583745018435583
"307",1.16371742538237
"308",0.6894124154942
"309",0.512408622944346
"310",0.815795139315674
"311",0.882044449960321
"312",0.51475378228402
"313",0.275935899325379
"314",0
"315",0.828488929473388
"316",0.468316835845024
"317",0.12536333239613
"318",0
"319",0.203453457818012
"320",0
"321",0.233084024202741
"322",0.35427358639177
"323",0.379765668823448
"324",0
"325",0.168032369506973
"326",0.152807765126812
"327",0.0603043702509662
"328",0
"329",0
"330",0
"331",0.218188271722773
"332",0.714524901541055
"333",0.736985762390213
"334",0.464997804495707
"335",0.126283552209874
"336",0.283012313358576
"337",0.490049610944607
"338",0.227049616039811
"339",0.106789279817742
"340",0.0368945813349523
"341",0.219428183276292
"342",0.0632389922636518
"343",0.180447609479701
"344",0
"345",0
"346",0
"347",0.526259038893389
"348",0.519759039019316
"349",0.503525348651295
"350",0.333946752060129
"351",1.20384675915231
"352",0.49232256393301
"353",0.94160751441507
"354",0.442569857999431
"355",0.0468343747490672
"356",0.324938328401675
"357",1.12375466941998
"358",1.75980627364073
"359",0.703138357070828
"360",0
"361",0
"362",0.173483465981587
"363",0.337422633019311
"364",0.0295436886196613
"365",0
"366",0
"367",0.100770603997496
"368",0.502616741700837
"369",0.646220533733549
"370",0.146732124134005
"371",0.156098995487365
"372",0.0783292631196849
"373",0
"374",0.116092571952043
